game_id,id,value
146452,70851,Darrin Lauritzen
146452,69695,Al West
146452,69694,Bob West
146452,70851,Darrin Lauritzen
146452,69694,Bob West
146452,69695,Al West
146458,9056,Andrea Sfiligoi
146467,1247,R. Vance Buck
146467,1247,R. Vance Buck
146477,69921,Matt Jones (II)
146477,69921,Matt Jones (II)
146496,12674,Hans-Georg Schneider
146496,12674,Hans-Georg Schneider
146496,12674,Hans-Georg Schneider
146508,17988,Ben Carre
146508,12130,Vincent Dutrait
146508,49383,David Lecossu
146508,14878,Pascal Quidault
146508,17988,Ben Carre
146508,49383,David Lecossu
146508,14878,Pascal Quidault
146508,17988,Ben Carre
146508,12130,Vincent Dutrait
146508,49383,David Lecossu
146508,14878,Pascal Quidault
146508,17988,Ben Carre
146508,49383,David Lecossu
146508,14878,Pascal Quidault
146508,12130,Vincent Dutrait
146508,14878,Pascal Quidault
146508,12130,Vincent Dutrait
146508,14878,Pascal Quidault
146508,12130,Vincent Dutrait
146508,14878,Pascal Quidault
146508,12130,Vincent Dutrait
146508,14878,Pascal Quidault
146508,17988,Ben Carre
146508,12130,Vincent Dutrait
146508,49383,David Lecossu
146508,14878,Pascal Quidault
146508,17988,Ben Carre
146508,12130,Vincent Dutrait
146508,49383,David Lecossu
146508,14878,Pascal Quidault
146511,3,(Uncredited)
146516,56057,Sean S
146516,56057,Sean S
146517,61722,Ed Flanagan
146517,69931,Allanah Linkhorn
146543,17414,Christian Opperer
146543,17414,Christian Opperer
146544,69717,Mario Jugel
146544,69944,Thomas Whitcombe
146544,69717,Mario Jugel
146544,69944,Thomas Whitcombe
146548,69947,Liza Chuguevskaya
146548,69949,Fil Dunskiy
146548,69957,Viktor Eredel
146548,69948,Dmitriy Korotchenko
146548,69953,Andrey Kuznetsov
146548,69956,Aleksey Lunin
146548,69955,Viktoriya Samoilova
146548,69954,Lena Snegireva
146548,69950,Vladislav Udalov
146548,69951,Timur Zarechniy
146549,69960,Maarten Geurink
146549,69961,Seppe Ovink
146549,69960,Maarten Geurink
146549,69961,Seppe Ovink
146559,15437,Sean Chen
146559,66132,Scott Hartman
146559,51904,Damian Isherwood
146559,60382,Igor Sobolevsky
146559,15437,Sean Chen
146559,66132,Scott Hartman
146559,51904,Damian Isherwood
146559,60382,Igor Sobolevsky
146576,52070,Stivo
146578,57664,Manuel Correia
146578,57664,Manuel Correia
146579,11968,Martin Hoffmann
146579,11902,Claus Stephan
146579,12836,Mirko Suzuki
146579,11968,Martin Hoffmann
146579,11902,Claus Stephan
146579,12836,Mirko Suzuki
146597,69967,Cara Ryan
146597,69967,Cara Ryan
146597,69967,Cara Ryan
146602,65818,Michael Groll
146606,28686,Eva Czerwenka
146606,28686,Eva Czerwenka
146634,69971,Joe Scott
146650,69973,Brandon Cieslak
146650,69973,Brandon Cieslak
146662,69984,Lithographisme J. M. Inc.
146677,69986,Kevin Illanas
146679,3,(Uncredited)
146679,3,(Uncredited)
146682,42602,Lawrence Davies
146707,29142,JJ Ariosa
146707,29142,JJ Ariosa
146707,29142,JJ Ariosa
146711,62677,Rey Alicea
146713,33466,Michel Gauthey
146713,33466,Michel Gauthey
146714,9046,William Longyear
146725,44540,Chris Rogers
146725,44540,Chris Rogers
146729,70040,Gustavo Zanin
146741,28145,Arkadiusz Wróbel
146747,4959,Harald Lieske
146747,4959,Harald Lieske
146748,57444,Kelly McClellan
146748,39902,Peter Wocken
146748,57444,Kelly McClellan
146752,14108,Jeremy McHugh
146762,109489,Nicolás Giacondino
146763,104745,Brittany Pezzillo
146765,70145,Kuan-Sheng Hsu
146765,70145,Kuan-Sheng Hsu
146776,29418,Geoffrey Cramm
146777,29418,Geoffrey Cramm
146778,29418,Geoffrey Cramm
146784,12171,Jack Scott Hill
146791,28618,Gaël Goumon
146791,12171,Jack Scott Hill
146791,14202,Ralph Horsley
146791,12019,Tomasz Jedruszek
146791,280,Brian Snoddy
146791,16453,Ben Wootten
146793,79806,Giorgio Baroni
146796,51506,Jeremy Kalgreen
146796,51506,Jeremy Kalgreen
146816,98973,Sergio Chaves
146816,11886,Julien Delval
146816,4959,Harald Lieske
146816,17925,Andreas Rocha
146816,98973,Sergio Chaves
146816,17925,Andreas Rocha
146816,98973,Sergio Chaves
146816,17925,Andreas Rocha
146816,11886,Julien Delval
146816,98973,Sergio Chaves
146816,17925,Andreas Rocha
146816,98973,Sergio Chaves
146816,17925,Andreas Rocha
146816,98973,Sergio Chaves
146816,17925,Andreas Rocha
146821,128436,Carina Tornqvist
146856,70217,Visaruth Thongthip
146856,70217,Visaruth Thongthip
146864,78614,Matthew Cullen
146880,69908,Maria Jose Barros
146880,43896,Pétur Atli Antonsson Crivello
146880,43896,Pétur Atli Antonsson Crivello
146880,43896,Pétur Atli Antonsson Crivello
146886,4959,Harald Lieske
146886,4959,Harald Lieske
146886,4959,Harald Lieske
146886,4959,Harald Lieske
146886,4959,Harald Lieske
146886,4959,Harald Lieske
146886,4959,Harald Lieske
146886,4959,Harald Lieske
146886,4959,Harald Lieske
146886,4959,Harald Lieske
146909,70146,Johanna Clementz
146909,70146,Johanna Clementz
146909,70146,Johanna Clementz
146910,70592,Bas Jongkind
146910,70041,Daan van Paridon
146910,108409,Thijs van Paridon
146910,70041,Daan van Paridon
146910,70041,Daan van Paridon
146916,64330,Chih-Fan Chen
146917,53967,Aino Havukainen
146917,53968,Sami Toivonen
146929,3,(Uncredited)
146929,3,(Uncredited)
146930,46618,Bruce Yearian
146930,46618,Bruce Yearian
146931,3,(Uncredited)
146931,3,(Uncredited)
146933,70494,Peter Gandia
146933,70493,Adolfo Navarro
146933,70495,Christopher Onciu
146936,70166,César Gómez Bernardino
146937,70166,César Gómez Bernardino
146937,70166,César Gómez Bernardino
146938,70166,César Gómez Bernardino
146943,70346,Jan Kartasan
146943,70346,Jan Kartasan
146963,50670,Giorgio De Michele
146964,70173,Kristian Borg
146964,38749,Alex Iglesias
146964,12066,Mike Jackson
146964,70172,Florian Mellies
146964,48509,Anthony Scroggins
146972,69550,Tugodoomer
146979,70188,Léon van der Maarel
146979,70188,Léon van der Maarel
146989,9393,Néstor Romeral Andrés
146989,9393,Néstor Romeral Andrés
146992,11556,Martijn Althuizen
146992,11556,Martijn Althuizen
146996,3,(Uncredited)
147009,71137,Paul Drouin
147009,74048,Tomasz Larek
147009,71137,Paul Drouin
147009,74048,Tomasz Larek
147020,92581,Vito Gesualdi
147020,92581,Vito Gesualdi
147020,92581,Vito Gesualdi
147020,92581,Vito Gesualdi
147020,92581,Vito Gesualdi
147020,92581,Vito Gesualdi
147021,69037,Sergey Dulin
147021,69036,Ilya Komarov
147021,69038,Uildrim
147021,69037,Sergey Dulin
147021,69036,Ilya Komarov
147021,69038,Uildrim
147021,69037,Sergey Dulin
147021,69036,Ilya Komarov
147021,69038,Uildrim
147021,69037,Sergey Dulin
147021,69036,Ilya Komarov
147021,69038,Uildrim
147030,69037,Sergey Dulin
147030,69037,Sergey Dulin
147030,69037,Sergey Dulin
147030,69037,Sergey Dulin
147030,69037,Sergey Dulin
147030,69037,Sergey Dulin
147030,69037,Sergey Dulin
147030,69037,Sergey Dulin
147030,69037,Sergey Dulin
147031,70210,R. v. Havranek
147031,70210,R. v. Havranek
147035,70211,Emily Taylor Jones
147035,70211,Emily Taylor Jones
147060,70336,John F. Di Virgilio
147060,70336,John F. Di Virgilio
147073,69437,Christian Strain
147093,3,(Uncredited)
147104,78064,Tommy Ng
147104,78064,Tommy Ng
147104,78064,Tommy Ng
147108,68596,Jeremy Peet
147108,68596,Jeremy Peet
147116,38179,Damien Mammoliti
147116,38179,Damien Mammoliti
147116,38179,Damien Mammoliti
147116,38179,Damien Mammoliti
147116,38179,Damien Mammoliti
147123,6032,Kevin Everingham
147124,108185,Nina Zuchowski
147124,108185,Nina Zuchowski
147136,67642,Gregory Hingle
147136,67642,Gregory Hingle
147139,41901,Oliver Kiley
147139,3572,P. D. Magnus
147139,3572,P. D. Magnus
147139,41901,Oliver Kiley
147139,3572,P. D. Magnus
147144,70252,Norman Sommer
147144,70252,Norman Sommer
147144,70252,Norman Sommer
147144,70252,Norman Sommer
147144,70252,Norman Sommer
147144,70252,Norman Sommer
147144,70252,Norman Sommer
147144,70252,Norman Sommer
147145,11999,Peter Svärd
147145,11999,Peter Svärd
147145,11999,Peter Svärd
147145,11999,Peter Svärd
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147151,70260,Éric Azagury
147151,70259,Cédric Chevalier
147154,13948,Daren Bader
147154,14699,Scott Fischer
147154,14947,Lars Grant-West
147154,13452,Todd Lockwood
147154,12502,John Matson
147154,5318,James Nelson
147154,12090,Michael Phillippi
147154,18122,Raimundo Pousada
147154,11989,Brian Schomburg
147154,11902,Claus Stephan
147154,11883,Franz Vohwinkel
147154,28164,Imelda Vohwinkel
147154,13948,Daren Bader
147154,14699,Scott Fischer
147154,14947,Lars Grant-West
147154,13452,Todd Lockwood
147154,12502,John Matson
147154,5318,James Nelson
147154,12090,Michael Phillippi
147154,18122,Raimundo Pousada
147154,11989,Brian Schomburg
147154,11902,Claus Stephan
147154,28164,Imelda Vohwinkel
147154,11883,Franz Vohwinkel
147154,14947,Lars Grant-West
147154,13948,Daren Bader
147154,14699,Scott Fischer
147154,14947,Lars Grant-West
147154,13452,Todd Lockwood
147154,12502,John Matson
147154,5318,James Nelson
147154,12090,Michael Phillippi
147154,18122,Raimundo Pousada
147154,11989,Brian Schomburg
147154,11902,Claus Stephan
147154,11883,Franz Vohwinkel
147154,28164,Imelda Vohwinkel
147155,66099,Pascal Boucher
147155,66099,Pascal Boucher
147163,12528,Michael Spahitz
147168,87305,Alba Aragon
147168,42246,Siscu Bellido
147168,69843,Ramses Bosque
147168,64977,Hector Herrera
147168,70160,Irene Medina
147168,34490,Chechu Nieto
147168,69419,Irene Paz
147168,69840,Jonathan Pérez
147168,78605,Carles Hernández Puig
147168,69839,Ramón Romero
147170,74,Doris Matthäus
147170,74,Doris Matthäus
147170,74,Doris Matthäus
147171,70267,Jorge Consuegra
147171,70267,Jorge Consuegra
147171,70267,Jorge Consuegra
147180,66093,W. T. Arnold
147180,66093,W. T. Arnold
147190,12383,Pierô
147190,12383,Pierô
147194,96101,Ben Drummond
147199,57049,Joseph Propati
147199,83938,Nicoleta Stavarache
147200,2652,Charles Kibler
147200,71,Rodger B. MacGowan
147200,71,Rodger B. MacGowan
147206,79871,Chris Park
147206,79871,Chris Park
147208,70293,Jonathan Zarco
147208,70293,Jonathan Zarco
147218,70478,Nicholas Pendleton
147218,70478,Nicholas Pendleton
147220,70300,Richard Linn
147220,70300,Richard Linn
147241,59980,Derek Bacon
147241,61284,Ben Haskett
147241,63174,Mark Major
147253,11854,Ryan Laukat
