game_id,value
13,CATAN 3D Collector's Edition
13,Catan: 25 Jahre Jubiläums-Edition
13,Catan: 25th Anniversary Edition
13,CATAN: 3D Edition
13,Catan: Big Box
13,Catan: Big Box
13,Catan: Big Box
13,CATAN: Big Box
13,Catan: Big Box Jubileumeditie
13,The Settlers of Catan
45,The Boardgame Book
45,Pirates of the Caribbean Dead Man's Chest: 3 in 1 Pirate Games Collector's Edition
49,Mamma Mia! con Ingredientes dobles
93,El Grande & Carcassonne
93,El Grande Big Box
93,El Grande Decennial Edition
95,Igel Ärgern + Tante Tarantel
140,"Cambio y Bolsa, Mercado, y Miau"
140,Classic Card Game Compendium
152,Der letzte Panther
152,Mü and Lots More
155,Mü and Lots More
163,Kokkelimonke Jubileum
171,Ancient Conflict Treasure Chest
171,Apocalypse Pack
171,The Boardgame Book
171,Giant 30 Game Cube
171,Miscellaneous Game Compilation
171,Pirates of the Caribbean Dead Man's Chest: 3 in 1 Pirate Games Collector's Edition
171,Seizer's Chess
181,Risk & Castle Risk
181,"Spaß am Erfolg: Karriere, Das Millionenspiel, Risiko"
188,The 15 Greatest Board Games in the World
188,The Boardgame Book
188,The Book of Classic Board Games
194,Groo: The Game
215,Tichu Deluxe
225,Playing With Pyramids
225,Solomids
239,Napoleon at War: Four Battles
255,Napoleon at War: Four Battles
256,Mississippi Queen
278,Die Siedler von Catan: Das Kartenspiel – 10th Anniversary Special Edition Tin Box
278,Die Siedler von Catan: Das Kartenspiel – Plus Pack
287,Samarkand Bazaar
290,New Tactical Games with Dice and Cards
315,The 15 Greatest Board Games in the World
320,"Family Game Night Book and Game Set: Scrabble, Clue, Sorry, Yahtzee"
320,Scrabble and Yahtzee
320,Scrabble Plus Scrabble Junior
320,Twin Play Classics: Monopoly and Scrabble
364,Samarkand Bazaar
378,Early Railways Collection
431,Alhambra: Big Box Special Edition
432,Take 5 & Take A Number
454,Igel Ärgern + Tante Tarantel
553,Chez Geek: House Party edition
573,Jockey & Grand Prix
573,Spiele-Box
622,Boneyard
625,Samarkand Bazaar
710,Snits!
789,A Gamut of Games
801,"Alma: The First Battle, 20 September 1854"
801,"Balaclava: The Charge of the Light Brigade, 25 October 1854"
801,"Inkerman: The Soldiers' Battle, 5 November 1854"
801,"Tchernaya River: The Battle of Tractir Bridge, 15 August 1855"
822,Carcassonne Big Box
822,Carcassonne Big Box 2
822,Carcassonne Big Box 3
822,Carcassonne Big Box 4
822,Carcassonne Big Box 5
822,Carcassonne Big Box 6
822,Carcassonne Big Box 7
822,Carcassonne inklusive Händler & Baumeister
822,Carcassonne Limited Edition
822,Carcassonne Müller Exklusiv-Edition
822,Carcassonne: 10 Year Special Edition
822,Carcassonne: 20th Anniversary Edition
822,El Grande & Carcassonne
822,Каркассон: Королевский Подарок
822,Каркассон: Королевский подарок. Новое издание
836,Early Railways Collection
875,Roads & Boats: 20th Anniversary Edition
915,Mystery of the Abbey with The Pilgrims' Chronicles
931,The Sackson Legacy Collection (Red)
963,Alhambra: Big Box Special Edition
980,Bohnanza: Ladies & Gangsters
1107,Mü and Lots More
1258,Phase 10 Bonus Pack
1258,UNO Bundle Collector Tin
1294,Clue / Parcheesi
1294,"Family Game Night Book and Game Set: Scrabble, Clue, Sorry, Yahtzee"
1294,Twin Play Classics: Clue and Sorry
1377,"Mückenstich, Danger, Zwickern"
1380,Jockey & Grand Prix
1406,Twin Play Classics: Monopoly and Scrabble
1410,Miscellaneous Game Compilation
1446,Slide 5 / Cheater
1465,HeartSwitch Wizard Combo Pack
1475,"Spaß am Erfolg: Karriere, Das Millionenspiel, Risiko"
1499,World in Flames Collector's Edition Deluxe
1499,World in Flames Deluxe Edition
1528,Following Suit
1528,Galaxy
1528,"Hey, Bartender!"
1528,Spots
1528,Stumpy the Cave Boy
1528,Tishai
1544,Kokkelimonke Jubileum
1549,Quick Picks Password & Password Junior
1566,Cosmic Supreme
1602,The 15 Greatest Board Games in the World
1602,AGON: 24 táblajáték a nagyvilágból
1602,Ancient Board Games
1602,The Reliquary Collection
1602,The Ur Variations
1730,Miscellaneous Game Compilation
1797,The Game of Life / Pay Day
1802,"Mückenstich, Danger, Zwickern"
1881,Atmosfear: The Ultimate Conflict
1887,Legend of the Five Rings: Gen Con 2014 L5R Experience
1917,Verkade spel
1927,Munchkin 1+2
1927,Munchkin Bobblehead Edition
1927,Munchkin Edycja Rozszerzona
1927,Munchkin Special Holiday Edition
1927,Munchkin Super-Mega-Set
1930,Anti-Monopoly Luxus-Edition
1931,Anti-Monopoly Luxus-Edition
1932,Anti-Monopoly Luxus-Edition
1961,5 Alive / Uno
1973,Taboo Junior / Outburst Jr
1977,New Tactical Games with Dice and Cards
2083,The 15 Greatest Board Games in the World
2083,Ancient Conflict Treasure Chest
2083,Apocalypse Pack
2083,The Boardgame Book
2083,The Book of Classic Board Games
2083,Donald Duck Big Game Box
2083,Five Famous Favorites
2083,"Generic Board ""Checkered"" Set"
2083,Giant 30 Game Cube
2083,Great Board Games
2083,Miscellaneous Game Compilation
2083,Pirates of the Caribbean Dead Man's Chest: 3 in 1 Pirate Games Collector's Edition
2083,Schöne alte Spiele
2083,Verkade spel
2102,Super KGB
2103,Super KGB
2136,The Boardgame Book
2136,Clue / Parcheesi
2136,Gamebook: An Interactive Book of Board Games
2136,Giant 30 Game Cube
2136,Great Board Games
2136,Miscellaneous Game Compilation
2136,Play the Game
2136,Schöne alte Spiele
2136,Tuttiludi
2136,Winnetou 2
2176,Mü and Lots More
2193,The Best of Dragon Magazine Games
2223,5 Alive / Uno
2223,UNO Bundle Collector Tin
2223,UNO Stacko Travel Size Bonus Pak
2228,The Games of Middle Earth
2232,A Gamut of Games
2243,"Family Game Night Book and Game Set: Scrabble, Clue, Sorry, Yahtzee"
2243,Scrabble and Yahtzee
2311,Spiele-Box
2317,"Mückenstich, Danger, Zwickern"
2318,Scrabble Plus Scrabble Junior
2364,Card Games Around the World
2386,The Boardgame Book
2386,Gamebook: An Interactive Book of Board Games
2386,Miscellaneous Game Compilation
2388,"Traveller: The Classic Games, Games 1-6+"
2389,Reversi Barbacan
2393,The Boardgame Book
2397,The Boardgame Book
2397,The Book of Classic Board Games
2397,Five Famous Favorites
2397,Giant 30 Game Cube
2397,Miscellaneous Game Compilation
2397,Schöne alte Spiele
2398,Card Games Around the World
2399,AGON: 24 táblajáték a nagyvilágból
2399,Ancient Board Games
2399,The Boardgame Book
2399,Gamebook: An Interactive Book of Board Games
2399,Senet e Tablan
2399,The Ur Variations
2407,"Family Game Night Book and Game Set: Scrabble, Clue, Sorry, Yahtzee"
2407,Twin Play Classics: Clue and Sorry
2425,3-4-2
2448,The Book of Classic Board Games
2448,Miscellaneous Game Compilation
2471,Zombies!!! Ultimate Collector's Box
2524,StarForce Trilogy
2557,Risk & Castle Risk
2578,Phase 10 Bonus Pack
2655,Hive Pocket
2704,600
2704,Card Hunt
2704,Complica
2704,Dilemma
2704,Gold Digger
2704,Katego
2704,Reiner Knizia's Decathlon
2704,Swap
2704,Tor
2705,Bonanza
2705,East-West
2705,Nugget
2705,Oregon
2705,Portland
2705,Sacramento
2762,Alpha Word Game System
2778,The Games of Middle Earth
2779,The Games of Middle Earth
2780,Play Winning Card Games For Three
2785,The Boardgame Book
2785,Miscellaneous Game Compilation
2785,Play the Game
2785,Surrealist Games
2802,"War in the East: The Russo-German Conflict, 1941-45 (Second Edition)"
2802,"War in the West: WWII in Western Europe, 1939-1945"
2821,UNO Stacko Travel Size Bonus Pak
2861,A Book of Sandhurst Wargames
2867,The Best of Dragon Magazine Games
2875,World in Flames Collector's Edition Super Deluxe
2883,Backgammon
2883,Blue and Gray
2883,Brax
2883,Checkers
2883,Fanorona
2883,Fox and Geese
2883,Go
2883,Halma
2883,Hasami Shogi
2883,Hex
2883,Hoppers
2883,Kalah
2883,Nine Men's Morris
2883,Qubic
2883,Solitaire
2883,Surakarta
2912,Ancient Board Games
2912,The Boardgame Book
2916,The Best of Dragon Magazine Games
2919,The Best of Dragon Magazine Games
2921,The Game of Life / Pay Day
2932,The Best of Dragon Magazine Games
2932,"Generic Board ""Square"" Set"
2933,The Best of Dragon Magazine Games
2939,A Book of Sandhurst Wargames
2957,Trivial Pursuit: Greatest Hits
2966,A Book of Sandhurst Wargames
2976,A Book of Sandhurst Wargames
3042,The Barbarian
3042,Survival!
3057,Knockabout / Warp 6
3076,Puerto Rico
3076,Puerto Rico
3076,Puerto Rico + Expansion I
3076,Puerto Rico 1897
3078,Knockabout / Warp 6
3144,Abbott's New Card Games
3243,Lobo: 10° Aniversário
3243,Wilki i Owce (zawiera dodatek Grube Ryby)
3270,Chief Herman's Next Big Thing
3270,Poker Suite
3360,Classic Card Game Compendium
3396,Tressette
3406,A Gamut of Games
3463,The Fantasy Trip: Legacy Edition
3464,The Fantasy Trip: Legacy Edition
3573,Napoleon at Waterloo
3583,The Boardgame Book
3600,"Traveller: The Classic Games, Games 1-6+"
3661,"Traveller: The Classic Games, Games 1-6+"
3663,StarForce Trilogy
3694,"The Black Prince: The Battle of Navarette, 1367"
3694,King Arthur: The Battle of Stonehenge 536
3694,"Robert at Bannockburn: The Battle of Bannockburn, 1314"
3694,"Tamburlaine the Great: The Battle of Angorra, 1402"
3699,Killer Bunnies and the Quest for the Magic Carrot: Deluxe Limited Edition
3886,The 15 Greatest Board Games in the World
3886,The Boardgame Book
3886,The Book of Classic Board Games
