game_id,value
5,1963 World Map Conversion Kit for the Game of Acquire
5,Wild Tile Variant Kit for the Game of ACQUIRE
10,Brettspiel Adventskalender 2018
10,Elfengold
10,Elfenland: Back to the Roads
10,Elfenland: Der Elfen-Zauberer
10,Elfenland: Favor of the Towns
10,Stadt Land Spielt Limitierte Sonderdrucke 2013
11,Auf der schwäb'schen Eisenbohn
11,Bohn Camillo
11,Bohna Nostra
11,Bohnanza Erweiterungs-Set
11,Bohnanza Erweiterungs-Set (Revised Edition)
11,Bohnanza: Amigo Bohnentaler
11,Bohnanza: Bean Market
11,Bohnanza: Bohnaparte & High Bohn
11,Bohnanza: Das Fanbuch
11,Bohnanza: Die Jokerbohnen
11,Bohnanza: La Isla Bohnita
11,Bohnanza: Princes & Pirates
11,Bohnanza: Spiderbeans
11,Bohnaparte
11,Bohnaparte: Liberté! Egalité! Bohnité!
11,Bohnedikt
11,Bohnedikt (2016 Edition)
11,Bohnröschen
11,Brettspiel Adventskalender 2015
11,Dschingis Bohn
11,Fasolki: Rozszerzenie
11,High Bohn
11,High Bohn Plus
11,High Bohn: Bohnenduell um 12 Uhr mittags
11,Ladybohn
11,Marco Bohno
11,Mutabohn
11,Telebohn
13,20 Jahre Darmstadt Spielt
13,Brettspiel Adventskalender 2015
13,Catan Austria / Wien meets Catan
13,Catan Geographies: Austria
13,Catan Geographies: Bayern Edition
13,Catan Geographies: Corsica
13,Catan Geographies: Georgia
13,Catan Geographies: Kennessee
13,Catan Geographies: Mallorca
13,Catan Geographies: North Rhine – Westphalia
13,Catan Geographies: Rickshaw Run
13,Catan Geographies: Settlers of Hesse
13,Catan Geographies: The Carolinas
13,Catan Länderszenarien: Polen
13,Catan Rhein-Main-Neckar
13,Catan Scenario: Crop Trust
13,Catan Scenario: Durango
13,Catan Scenario: Fenni's Shearing Season
13,Catan Scenario: Malta
13,Catan Scenarios:  Easter Bunny
13,Catan Scenarios: #WeStayHome
13,Catan Scenarios: Big Game Big Honor
13,Catan Scenarios: Catanimals
13,Catan Scenarios: Frenemies
13,Catan Scenarios: Global Warming
13,Catan Scenarios: Helpers of Catan
13,Catan Scenarios: Oil Springs
13,Catan: 5-6 Player Extension
13,Catan: 999 Games 25 jaar Expansion
13,Catan: Catakatoa
